"id_commune","id_service","competence","id_service_gn"
"54130","3003331","0","3003331"
"54131","3003298","0","3003298"
"54132","3003303","0","3003303"
"54133","3003328","0","3003328"
"54134","3003323","0","3003323"
"54135","3003341","0","3003341"
"54136","63481","1","3003310"
"54137","3028352","0","3028352"
"54138","3028352","0","3028352"
"54139","3003328","0","3003328"
"54140","3003341","0","3003341"
"54141","3003292","0","3003292"
"54142","3003295","0","3003295"
"54143","3003341","0","3003341"
"54144","3003331","0","3003331"
"54145","3003328","0","3003328"
"54146","3003339","0","3003339"
"54147","3003328","0","3003328"
"54148","3003328","0","3003328"
"54149","116289","1","3003320"
"54150","3003294","0","3003294"
"54151","3028352","0","3028352"
"54152","3003332","0","3003332"
"54153","3003313","0","3003313"
"54154","3003336","0","3003336"
"54155","3003328","0","3003328"
"54156","3003295","0","3003295"
"54157","3003291","0","3003291"
"54158","3003341","0","3003341"
"54159","63490","1","3003292"
"54160","3003343","0","3003343"
"54161","3003333","0","3003333"
"54162","3003339","0","3003339"
"54163","3003333","0","3003333"
"54164","3003303","0","3003303"
"54165","63445","1","3003292"
"54166","3003344","0","3003344"
"54167","63530","1","3003339"
"54168","3003290","0","3003290"
"54169","3003324","0","3003324"
"54170","3003332","0","3003332"
"54171","3003310","0","3003310"
"54172","3003323","0","3003323"
"54173","3003328","0","3003328"
"54174","63530","1","3003339"
"54175","3003332","0","3003332"
"54176","3003328","0","3003328"
"54177","3003333","0","3003333"
"54178","3003323","0","3003323"
"54179","3003298","0","3003298"
"54180","3003290","0","3003290"
"54181","116289","1","3003320"
"54182","3003344","0","3003344"
"54183","3003335","0","3003335"
"54184","63445","1","3003292"
"54185","3003303","0","3003303"
"54186","3003294","0","3003294"
"54187","3003344","0","3003344"
"54188","3003298","0","3003298"
"54189","3003341","0","3003341"
"54190","3003341","0","3003341"
"54191","3003330","0","3003330"
"54192","3003292","0","3003292"
"54193","3003291","0","3003291"
"54194","3003320","0","3003320"
"54195","3003328","0","3003328"
"54196","3003297","0","3003297"
"54197","63445","1","3003292"
"54198","3003310","0","3003310"
"54199","3003336","0","3003336"
"54200","3003344","0","3003344"
"54201","3003336","0","3003336"
"54202","3003343","0","3003343"
"54203","3003303","0","3003303"
"54204","3003303","0","3003303"
"54205","3003342","0","3003342"
"54206","3003335","0","3003335"
"54207","3003303","0","3003303"
"54208","3003343","0","3003343"
"54209","3003335","0","3003335"
"54210","3003333","0","3003333"
"54211","3003333","0","3003333"
"54212","3028352","0","3028352"
"54213","3003310","0","3003310"
"54214","3003297","0","3003297"
"54215","3003294","0","3003294"
"54216","3003331","0","3003331"
"54217","3003336","0","3003336"
"54218","3003341","0","3003341"
"54219","3003292","0","3003292"
"54220","3003341","0","3003341"
"54221","3003295","0","3003295"
"54222","3003335","0","3003335"
"54223","3003341","0","3003341"
"54224","3003295","0","3003295"
"54225","3003343","0","3003343"
"54226","3003341","0","3003341"
"54227","63481","1","3003310"
"54228","3003335","0","3003335"
"54229","3003336","0","3003336"
"54230","3003333","0","3003333"
"54231","3003314","0","3003314"
"54232","3003339","0","3003339"
"54233","3003333","0","3003333"
"54234","3028352","0","3028352"
"54235","3003303","0","3003303"
"54236","3003323","0","3003323"
"54237","3003341","0","3003341"
"54238","3003331","0","3003331"
"54239","3003343","0","3003343"
"54240","3003343","0","3003343"
"54241","3003303","0","3003303"
"54242","3003339","0","3003339"
"54243","3003336","0","3003336"
"54244","3003313","0","3003313"
"54245","3003331","0","3003331"
"54246","3003330","0","3003330"
"54247","3003303","0","3003303"
"54248","3003343","0","3003343"
"54249","3003313","0","3003313"
"54250","3003292","0","3003292"
"54251","3003330","0","3003330"
"54252","3003295","0","3003295"
"54253","63481","1","3003310"
"54254","63541","1","3028352"
"54255","3003335","0","3003335"
"54256","3003332","0","3003332"
"54257","63445","1","3003292"
"54258","3003328","0","3003328"
"54259","3003333","0","3003333"
"54260","3003335","0","3003335"
"54261","63541","1","3028352"
"54262","3003328","0","3003328"
"54263","63466","1","3003310"
"54264","3003303","0","3003303"
"54265","63445","1","3003292"
"54266","3003303","0","3003303"
"54268","3003295","0","3003295"
"54269","3003328","0","3003328"
"54270","116289","1","3028352"
"54271","3003333","0","3003333"
"54272","3003343","0","3003343"
"54273","63481","1","3003310"
"54274","63445","1","3003292"
"54275","3003344","0","3003344"
"54276","3003298","0","3003298"
"54277","3003310","0","3003310"
"54278","3003295","0","3003295"
"54279","3003291","0","3003291"
"54280","63466","1","3003310"
"54281","62884","1","3003328"
"54282","3003324","0","3003324"
"54283","3003310","0","3003310"
"54284","3003314","0","3003314"
"54285","3003328","0","3003328"
"54286","63481","1","3003310"
"54287","3003336","0","3003336"
"54288","3003339","0","3003339"
"54289","3003290","0","3003290"
"54290","3028352","0","3028352"
"54291","3003303","0","3003303"
"54292","3003335","0","3003335"
"54293","3003332","0","3003332"
"54294","3003291","0","3003291"
"54295","3003314","0","3003314"
"54296","3003290","0","3003290"
"54297","3003328","0","3003328"
"54298","3003342","0","3003342"
"54299","3003295","0","3003295"
"54300","63445","1","3003292"
"54301","3003290","0","3003290"
"54302","3003310","0","3003310"
"54303","3003328","0","3003328"
"54304","63445","1","3003292"
"54305","3003294","0","3003294"
"54306","3003342","0","3003342"
"54307","3003295","0","3003295"
"54308","3003333","0","3003333"
"54309","3003295","0","3003295"
"54310","3003295","0","3003295"
"54311","3003292","0","3003292"
"54312","3003291","0","3003291"
"54313","3003298","0","3003298"
"54314","3028352","0","3028352"
"54315","3003298","0","3003298"
"54316","3003344","0","3003344"
"54317","3003344","0","3003344"
"54318","3003343","0","3003343"
"54320","3003291","0","3003291"
"54321","63541","1","3028352"
"54322","3003323","0","3003323"
"54323","63541","1","3028352"
"54324","3003331","0","3003331"
"54325","3003331","0","3003331"
"54326","3003310","0","3003310"
"54327","3003339","0","3003339"
"54328","63445","1","3003292"
"54329","62884","1","3003328"
"54330","3003292","0","3003292"
"54331","3003335","0","3003335"
"54332","63516","1","3003291"
"54333","3003298","0","3003298"
"54334","3003315","0","3003315"
"54335","3003328","0","3003328"
"54336","3003297","0","3003297"
"54337","3003320","0","3003320"
"54338","3003294","0","3003294"
"54339","63445","1","3003292"
"54340","3003343","0","3003343"
"54343","3003343","0","3003343"
"54344","3003331","0","3003331"
"54345","3003292","0","3003292"
"54346","3003343","0","3003343"
"54348","3003343","0","3003343"
"54349","3003328","0","3003328"
"54350","3003328","0","3003328"
"54351","3003294","0","3003294"
"54352","3003297","0","3003297"
"54353","3003313","0","3003313"
"54354","3003297","0","3003297"
"54355","3003343","0","3003343"
"54356","3003335","0","3003335"
"54357","63445","1","3003292"
"54358","3003290","0","3003290"
"54359","3003332","0","3003332"
"54360","3003339","0","3003339"
"54362","3003324","0","3003324"
"54363","3003320","0","3003320"
"54364","3003297","0","3003297"
"54365","3003336","0","3003336"
"54366","3003297","0","3003297"
"54367","63541","1","3028352"
"54368","3003336","0","3003336"
"54369","3003291","0","3003291"
"54370","3003343","0","3003343"
"54371","63481","1","3003310"
"54372","3003298","0","3003298"
"54373","62884","1","3003328"
"54374","3003290","0","3003290"
