"commune_code_insee","unite_cu"
"02694","435"
"02696","407"
"02697","415"
"02698","443"
"02699","422"
"02701","420"
"02702","436"
"02703","432"
"02704","408"
"02705","415"
"02706","440"
"02707","408"
"02708","432"
"02709","430"
"02710","435"
"02711","441"
"02712","422"
"02713","422"
"02714","441"
"02715","441"
"02716","410"
"02717","434"
"02718","423"
"02719","406"
"02720","415"
"02721","434"
"02722","10200905"
"02723","413"
"02724","423"
"02725","450"
"02726","435"
"02727","412"
"02728","450"
"02729","445"
"02730","443"
"02731","454"
"02732","434"
"02734","445"
"02735","441"
"02736","444"
"02737","412"
"02738","10200897"
"02739","440"
"02740","448"
"02741","434"
"02742","412"
"02743","413"
"02744","423"
"02745","412"
"02746","410"
"02747","436"
"02748","421"
"02749","423"
"02750","408"
"02751","407"
"02752","435"
"02753","455"
"02754","406"
"02755","405"
"02756","433"
"02757","451"
"02758","443"
"02759","448"
"02760","455"
"02761","27450"
"02762","408"
"02763","441"
"02764","407"
"02765","405"
"02766","443"
"02767","440"
"02768","405"
"02769","455"
"02770","440"
"02772","436"
"02773","441"
"02774","436"
"02775","433"
"02776","431"
"02777","420"
"02778","407"
"02779","455"
"02780","440"
"02781","419"
"02782","436"
"02783","455"
"02784","455"
"02785","436"
"02786","408"
"02787","409"
"02788","410"
"02789","448"
"02790","412"
"02791","415"
"02792","423"
"02793","444"
"02794","422"
"02795","444"
"02796","423"
"02797","441"
"02798","420"
"02799","442"
"02800","421"
"02801","413"
"02802","413"
"02803","27450"
"02804","442"
"02805","10200905"
"02806","422"
"02807","406"
"02808","431"
"02809","422"
"02810","445"
"02812","445"
"02813","434"
"02814","451"
"02815","435"
"02816","422"
"02817","441"
"02818","420"
"02819","413"
"02820","406"
"02821","404"
"02822","445"
"02823","454"
"02824","404"
"02826","448"
"02827","412"
"02828","443"
"02829","440"
"02830","455"
"02831","452"
"02832","454"
"02833","452"
"02834","405"
"03001","10300887"
"03002","3061"
"03003","3066"
"03004","3085"
"03005","3071"
"03006","3086"
"03007","3072"
"03008","3086"
"03009","3052"
"03010","3070"
"03011","3052"
"03012","3061"
"03013","10300913"
"03014","3082"
"03015","3052"
"03016","3054"
"03017","3085"
"03018","3060"
"03019","3055"
"03020","3073"
"03021","3083"
"03022","3069"
"03023","10300887"
"03024","3084"
"03025","3059"
"03026","3061"
"03027","3073"
"03028","3085"
"03029","3087"
"03030","3083"
"03031","3070"
"03032","3073"
"03033","3079"
"03034","3088"
"03035","3082"
"03036","3053"
"03037","3066"
"03038","3060"
"03039","3061"
"03040","3052"
"03041","3066"
"03042","3086"
"03043","3083"
"03044","3079"
"03045","3079"
"03046","3053"
"03047","3067"
"03048","3066"
"03049","3060"
"03050","3086"
"03051","3071"
"03052","3067"
"03053","3054"
"03054","3059"
"03055","3071"
"03056","3086"
"03057","3055"
"03058","3073"
"03059","3054"
"03060","3079"
"03061","3083"
"03062","3054"
"03063","3082"
"03064","3057"
"03065","3058"
"03066","3086"
"03067","3084"
"03068","3085"
"03069","3058"
"03070","3073"
"03071","3084"
"03072","3071"
"03073","3061"
"03074","3055"
"03075","3054"
"03076","3055"
"03077","3069"
"03078","3069"
"03079","3084"
"03080","3079"
"03081","3067"
"03082","3067"
"03083","3060"
"03084","3070"
"03085","3052"
"03086","3056"
"03087","3057"
"03088","3071"
"03089","3069"
"03090","3057"
"03091","3088"
"03092","3058"
"03093","3079"
"03094","10300887"
"03095","10300887"
"03096","3054"
"03097","3073"
"03098","10300885"
"03099","3058"
"03100","3056"
"03101","10300885"
"03102","3056"
"03103","3082"
"03104","3073"
"03105","3085"
"03106","3067"
"03107","3069"
"03108","3069"
"03109","3083"
"03110","3079"
"03111","3065"
"03112","3054"
"03113","3086"
"03114","3059"
"03115","3054"
"03116","3054"
"03117","3053"
"03118","3083"
"03119","3055"
"03120","3055"
"03121","3052"
"03122","3061"
"03124","3059"
"03125","3086"
"03126","3079"
"03127","3070"
"03128","3071"
"03129","3067"
"03130","3066"
"03131","3086"
"03132","3084"
"03133","3083"
"03134","3060"
"03135","3069"
"03136","3065"
"03137","3088"
"03138","3085"
"03139","3086"
"03140","10300885"
"03141","3086"
"03142","3082"
"03143","3066"
"03144","3084"
"03145","3065"
"03146","3057"
"03147","3082"
"03148","3060"
"03149","3060"
"03150","3070"
"03151","3073"
"03152","3069"
