id;version;niveau;libelle;validite
00499;20230913;1;jcr;O
00500;20230913;1;jecote;O
00501;20230913;1;jeep;O
00502;20230913;1;jensen;O
00503;20230913;1;jf fabriken;O
00504;20230913;1;jialing;O
00505;20230913;1;jianshe;O
00506;20230913;1;jige;O
00507;20230913;1;jincheng;O
00508;20230913;1;jld;O
00509;20230913;1;job;O
00510;20230913;1;john;O
00511;20230913;1;john deere;O
00512;20230913;1;johnson;O
00513;20230913;1;jomi;O
00514;20230913;1;jsm;O
00515;20230913;1;kaeser;O
00516;20230913;1;kaessbohrer;O
00517;20230913;1;kaiser;O
00518;20230913;1;kanuni;O
00519;20230913;1;karmann;O
00520;20230913;1;kassbohrer;O
00521;20230913;1;kawasaki;O
00522;20230913;1;kewet;O
00523;20230913;1;kh;O
00524;20230913;1;kia;O
00525;20230913;1;kingway;O
00526;20230913;1;kip;O
00527;20230913;1;kiva;O
00528;20230913;1;kloeckner h deutz;O
00529;20230913;1;knaus;O
00530;20230913;1;kockum;O
00531;20230913;1;komatsu;O
00532;20230913;1;kramer;O
00533;20230913;1;kraus maffei;O
00534;20230913;1;kreidler;O
00535;20230913;1;kress;O
00536;20230913;1;krone;O
00537;20230913;1;ktm;O
00538;20230913;1;kubota;O
00539;20230913;1;kwan yang;O
00540;20230913;1;kymco;O
00541;20230913;1;kynast;O
01131;20230913;1;keeway;O
01143;20230913;1;imf;O
01144;20230913;1;kataya;O
01174;20230913;1;infiniti;O
01179;20230913;1;karosa;O
01184;20230913;1;jonway;O
01212;20230913;1;kinroad;O
01218;20230913;1;james b;O
01230;20230913;1;jordon;O
01236;20230913;1;jm motors;O
01252;20230913;1;indian motorcycle;O
00542;20230913;1;la boheme;O
00543;20230913;1;la mancelle;O
00544;20230913;1;la royale;O
00545;20230913;1;lada;O
00546;20230913;1;lafosse;O
00547;20230913;1;lag;O
00548;20230913;1;lama;O
00549;20230913;1;lamberet;O
00550;20230913;1;lamborghini;O
00551;20230913;1;lambretta;O
00552;20230913;1;lampe;O
00553;20230913;1;lancia;O
00554;20230913;1;lancier;O
00555;20230913;1;lancy;O
00556;20230913;1;land rover;O
00557;20230913;1;lander;O
00558;20230913;1;landini;O
00559;20230913;1;lanselle;O
00560;20230913;1;lansing;O
00561;20230913;1;lanz;O
00562;20230913;1;lapierre;O
00563;20230913;1;latain;O
00564;20230913;1;latil;O
00565;20230913;1;laverda;O
00566;20230913;1;ldv;O
00567;20230913;1;le car;O
00568;20230913;1;le cardinal;O
00569;20230913;1;lecitraile;O
00570;20230913;1;lecki;O
00571;20230913;1;lem;O
00572;20230913;1;lenz;O
00573;20230913;1;levante;O
00574;20230913;1;leveque;O
00575;20230913;1;lexus;O
00576;20230913;1;ley;O
00577;20230913;1;leyland;O
00578;20230913;1;liaz;O
00579;20230913;1;lider;O
00580;20230913;1;liebherr;O
00581;20230913;1;lifan;O
00582;20230913;1;liftlux;O
00583;20230913;1;ligier;O
00584;20230913;1;lincoln;O
00585;20230913;1;lindenau;O
00586;20230913;1;linhai;O
00587;20230913;1;link;O
00588;20230913;1;lipp;O
00589;20230913;1;lloyd;O
00590;20230913;1;lmc;O
00591;20230913;1;lmf;O
00592;20230913;1;lml;O
00593;20230913;1;logemann;O
00594;20230913;1;lohr;O
00595;20230913;1;lombardini;O
00596;20230913;1;lorain;O
00597;20230913;1;lord munster;O
00598;20230913;1;lotus;O
00599;20230913;1;louault;O
00600;20230913;1;lowis;O
00601;20230913;1;lr;O
00602;20230913;1;luna;O
00603;20230913;1;luquet;O
00604;20230913;1;lutz;O
00605;20230913;1;lynton;O
